epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4419.35,0.95709,1.89129,1.39489,0.66585,0.40369,0.39463,0.2833,0.97154,1.67261,1.33413,0.007921,0.007921,0.007921
44,4520.49,0.95157,1.88001,1.39199,0.61031,0.36937,0.38116,0.27373,0.96438,1.677,1.32889,0.0078715,0.0078715,0.0078715
45,4622.45,0.95669,1.86062,1.39444,0.66341,0.37636,0.38361,0.26999,0.95958,1.67018,1.3198,0.007822,0.007822,0.007822
46,4725.19,0.93358,1.83654,1.3752,0.65895,0.37956,0.39758,0.29195,0.97143,1.63488,1.33105,0.0077725,0.0077725,0.0077725
47,4826.3,0.9375,1.83588,1.38054,0.6872,0.3936,0.41197,0.27957,0.96598,1.62583,1.33033,0.007723,0.007723,0.007723
48,4928.95,0.93665,1.82686,1.37947,0.71918,0.35865,0.41721,0.28571,0.96707,1.61918,1.32781,0.0076735,0.0076735,0.0076735
49,5031.94,0.9383,1.81891,1.37668,0.65039,0.37964,0.39653,0.27642,0.94482,1.61038,1.30567,0.007624,0.007624,0.007624
50,5134.65,0.92651,1.79579,1.36921,0.64628,0.41235,0.4163,0.2951,0.94531,1.59235,1.30889,0.0075745,0.0075745,0.0075745
51,5235.33,0.9333,1.81377,1.3774,0.64285,0.41007,0.43226,0.30331,0.94523,1.5827,1.30773,0.007525,0.007525,0.007525
52,5336.61,0.92302,1.78665,1.3703,0.65366,0.43596,0.44273,0.31725,0.9348,1.57112,1.29905,0.0074755,0.0074755,0.0074755
53,5440,0.92019,1.77661,1.36378,0.74143,0.36748,0.44393,0.31487,0.92801,1.55559,1.29133,0.007426,0.007426,0.007426
54,5539.14,0.90715,1.76783,1.35863,0.70128,0.40121,0.43959,0.31736,0.9138,1.54787,1.28653,0.0073765,0.0073765,0.0073765
55,5641.11,0.9106,1.75759,1.35743,0.71368,0.39387,0.44842,0.31722,0.90893,1.54092,1.28154,0.007327,0.007327,0.007327
56,5744.38,0.90788,1.75578,1.35956,0.69443,0.41533,0.44287,0.32132,0.91098,1.53341,1.27859,0.0072775,0.0072775,0.0072775
57,5847.33,0.90259,1.73437,1.35114,0.69916,0.39257,0.43582,0.31578,0.90622,1.53709,1.2742,0.007228,0.007228,0.007228
58,5947.93,0.90231,1.74141,1.35303,0.69772,0.3742,0.44185,0.31765,0.89749,1.53683,1.26461,0.0071785,0.0071785,0.0071785
59,6049.37,0.89882,1.7285,1.3467,0.65907,0.40812,0.43442,0.31227,0.89208,1.52771,1.26213,0.007129,0.007129,0.007129
60,6152.06,0.9022,1.72791,1.35278,0.70409,0.37932,0.43597,0.3122,0.89367,1.5178,1.26294,0.0070795,0.0070795,0.0070795
61,6254.38,0.89697,1.71598,1.34875,0.66199,0.40432,0.44733,0.31726,0.89709,1.49826,1.26245,0.00703,0.00703,0.00703
62,6356.99,0.89074,1.70892,1.346,0.69312,0.39417,0.45828,0.3284,0.8981,1.49301,1.26551,0.0069805,0.0069805,0.0069805
63,6460.07,0.89012,1.69325,1.34235,0.7003,0.40339,0.45713,0.32715,0.8874,1.48074,1.25414,0.006931,0.006931,0.006931
64,6562.93,0.87999,1.67714,1.33288,0.71382,0.39997,0.4689,0.3432,0.87656,1.46938,1.24748,0.0068815,0.0068815,0.0068815
65,6663.43,0.87743,1.67774,1.33228,0.69463,0.41756,0.47511,0.34771,0.87656,1.45902,1.24764,0.006832,0.006832,0.006832
66,6765.05,0.87847,1.67805,1.33516,0.67754,0.42722,0.45805,0.34,0.87368,1.45749,1.24319,0.0067825,0.0067825,0.0067825
67,6868.74,0.87665,1.66508,1.33363,0.67491,0.43801,0.4713,0.34836,0.86827,1.45333,1.23857,0.006733,0.006733,0.006733
68,6969.7,0.87211,1.64228,1.325,0.66675,0.43694,0.47231,0.35014,0.86217,1.45327,1.23221,0.0066835,0.0066835,0.0066835
69,7071.96,0.86907,1.64558,1.32871,0.67011,0.4724,0.48126,0.35562,0.86075,1.45047,1.23071,0.006634,0.006634,0.006634
70,7174.59,0.86262,1.62918,1.32434,0.67904,0.48465,0.49834,0.36159,0.86071,1.44351,1.23062,0.0065845,0.0065845,0.0065845
71,7277.31,0.86165,1.62788,1.32184,0.66447,0.48112,0.49349,0.3599,0.85963,1.44078,1.22955,0.006535,0.006535,0.006535
72,7382.44,0.8595,1.62105,1.31518,0.66077,0.48611,0.49412,0.36206,0.85729,1.43515,1.22644,0.0064855,0.0064855,0.0064855
73,7483.65,0.86255,1.62682,1.32159,0.66515,0.47779,0.487,0.36021,0.85432,1.42941,1.224,0.006436,0.006436,0.006436
74,7586.28,0.84773,1.60957,1.31029,0.67085,0.4737,0.49177,0.36468,0.85157,1.42244,1.22171,0.0063865,0.0063865,0.0063865
75,7687.15,0.84681,1.58721,1.30929,0.6632,0.48139,0.49279,0.36935,0.85101,1.4152,1.22248,0.006337,0.006337,0.006337
76,7788.6,0.84962,1.59234,1.30962,0.6664,0.4785,0.49499,0.36708,0.84803,1.41243,1.22172,0.0062875,0.0062875,0.0062875
77,7890.65,0.83973,1.5803,1.30677,0.74986,0.38771,0.49362,0.35445,0.84881,1.40579,1.22297,0.006238,0.006238,0.006238
78,7993.51,0.84568,1.58488,1.30954,0.75586,0.38749,0.49508,0.35783,0.84644,1.39926,1.22181,0.0061885,0.0061885,0.0061885
79,8093.96,0.84719,1.58547,1.30945,0.69151,0.43384,0.49725,0.3572,0.844,1.3935,1.22022,0.006139,0.006139,0.006139
80,8195.03,0.83251,1.55999,1.30026,0.69271,0.43416,0.49729,0.35648,0.84441,1.38878,1.22125,0.0060895,0.0060895,0.0060895
81,8298.1,0.83046,1.54034,1.2968,0.69191,0.46259,0.50145,0.36087,0.84364,1.38569,1.22074,0.00604,0.00604,0.00604
82,8399.03,0.83715,1.56473,1.29985,0.68544,0.46779,0.50328,0.36265,0.84258,1.38249,1.21883,0.0059905,0.0059905,0.0059905
83,8500.37,0.82406,1.54111,1.29167,0.60452,0.52806,0.50382,0.36343,0.84,1.38133,1.21694,0.005941,0.005941,0.005941
84,8602.98,0.83133,1.54019,1.29977,0.6169,0.51843,0.50409,0.36534,0.83912,1.37911,1.21626,0.0058915,0.0058915,0.0058915
85,8705.25,0.82527,1.53105,1.29243,0.64728,0.50265,0.50481,0.36701,0.83631,1.37496,1.21407,0.005842,0.005842,0.005842
86,8805.6,0.82482,1.52567,1.28856,0.65636,0.4921,0.50562,0.36787,0.83316,1.37243,1.21219,0.0057925,0.0057925,0.0057925
87,8908.04,0.81888,1.51337,1.28852,0.65653,0.474,0.50506,0.37078,0.83101,1.36903,1.21066,0.005743,0.005743,0.005743
