epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11404.3,0.97168,1.90653,1.40468,0.52326,0.41693,0.37756,0.25466,1.00327,1.68599,1.36246,0.0079705,0.0079705,0.0079705
43,11507.4,0.95747,1.89544,1.39406,0.53296,0.39195,0.37528,0.25414,0.97995,1.69907,1.3499,0.007921,0.007921,0.007921
44,11609.2,0.95361,1.87746,1.39282,0.53194,0.41807,0.39537,0.27801,0.98386,1.665,1.35341,0.0078715,0.0078715,0.0078715
45,11710.9,0.95859,1.85789,1.39371,0.61933,0.4226,0.39976,0.27217,0.97593,1.64753,1.35008,0.007822,0.007822,0.007822
46,11813.7,0.9335,1.8321,1.37584,0.50058,0.44581,0.40683,0.28853,0.97353,1.62877,1.34413,0.0077725,0.0077725,0.0077725
47,11915.3,0.94015,1.84397,1.38234,0.68987,0.36499,0.39452,0.26784,0.96569,1.61671,1.3396,0.007723,0.007723,0.007723
48,12016.8,0.93518,1.841,1.37893,0.7366,0.35236,0.41863,0.28518,0.95402,1.61279,1.33171,0.0076735,0.0076735,0.0076735
49,12118.2,0.9356,1.82367,1.37438,0.72906,0.35552,0.40643,0.29387,0.94886,1.59966,1.31629,0.007624,0.007624,0.007624
50,12221.7,0.93079,1.79759,1.37267,0.62141,0.41218,0.41642,0.29714,0.94011,1.60435,1.31274,0.0075745,0.0075745,0.0075745
51,12323.2,0.9324,1.81948,1.37639,0.66899,0.37488,0.42206,0.31258,0.93929,1.5745,1.31549,0.007525,0.007525,0.007525
52,12424.4,0.92368,1.7856,1.3732,0.72332,0.40733,0.43483,0.29023,0.93977,1.57287,1.31934,0.0074755,0.0074755,0.0074755
53,12526.8,0.92267,1.76945,1.36958,0.67782,0.37434,0.42962,0.28908,0.92719,1.54804,1.30535,0.007426,0.007426,0.007426
54,12629,0.90969,1.77061,1.35964,0.63558,0.4123,0.428,0.28887,0.90918,1.53514,1.29565,0.0073765,0.0073765,0.0073765
55,12730.1,0.90911,1.75635,1.35853,0.71049,0.40855,0.44063,0.28635,0.90836,1.52945,1.29875,0.007327,0.007327,0.007327
56,12830.9,0.91416,1.75228,1.36419,0.73724,0.39625,0.4391,0.30075,0.89846,1.53816,1.28609,0.0072775,0.0072775,0.0072775
57,12933.6,0.90725,1.73455,1.3559,0.76089,0.35786,0.4306,0.29849,0.89893,1.53815,1.28238,0.007228,0.007228,0.007228
58,13034.8,0.90044,1.73363,1.35661,0.7152,0.40102,0.44147,0.30753,0.89476,1.52618,1.27623,0.0071785,0.0071785,0.0071785
59,13136.4,0.89822,1.72059,1.34867,0.7074,0.41336,0.43827,0.31279,0.88893,1.51613,1.27204,0.007129,0.007129,0.007129
60,13237.9,0.89987,1.73298,1.35198,0.64972,0.41953,0.42158,0.30524,0.88512,1.50477,1.26495,0.0070795,0.0070795,0.0070795
61,13339.3,0.89367,1.70661,1.3438,0.64415,0.42631,0.43954,0.32272,0.88173,1.49899,1.26219,0.00703,0.00703,0.00703
62,13439.7,0.88901,1.70885,1.34399,0.74637,0.35836,0.44489,0.32846,0.88039,1.4949,1.26,0.0069805,0.0069805,0.0069805
63,13540.6,0.88897,1.69079,1.34098,0.70249,0.39053,0.44667,0.32802,0.872,1.49078,1.25149,0.006931,0.006931,0.006931
64,13643.7,0.87946,1.6807,1.337,0.75412,0.34756,0.44874,0.34103,0.86975,1.47744,1.25093,0.0068815,0.0068815,0.0068815
65,13745.1,0.87862,1.67675,1.33298,0.75809,0.34476,0.45515,0.33965,0.86689,1.46891,1.2495,0.006832,0.006832,0.006832
66,13846.3,0.87919,1.67211,1.33766,0.65639,0.41405,0.46275,0.34389,0.86346,1.46311,1.24504,0.0067825,0.0067825,0.0067825
67,13947.5,0.87281,1.65937,1.33335,0.64361,0.42532,0.45909,0.34464,0.86044,1.45748,1.24101,0.006733,0.006733,0.006733
68,14050.2,0.87508,1.64524,1.33005,0.65823,0.41512,0.45726,0.33459,0.85708,1.45348,1.23828,0.0066835,0.0066835,0.0066835
69,14151.4,0.87474,1.64821,1.33302,0.68382,0.39579,0.46273,0.34033,0.8534,1.45342,1.23467,0.006634,0.006634,0.006634
70,14252.3,0.86286,1.63641,1.32402,0.63155,0.44211,0.46555,0.33813,0.85238,1.45256,1.23444,0.0065845,0.0065845,0.0065845
71,14354.9,0.86391,1.62974,1.32437,0.66657,0.41071,0.46282,0.33962,0.85127,1.447,1.23358,0.006535,0.006535,0.006535
72,14455.8,0.86441,1.61652,1.31809,0.68062,0.41228,0.46856,0.33911,0.84921,1.44293,1.23157,0.0064855,0.0064855,0.0064855
